,numeroProcesso,classe,orgao,strData,ultimaAtualizacao,formato,assuntos,sort
0,00004118419878190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1987-02-16T00:00:00.000Z,2023-08-15T08:18:58.826Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",540432000000
1,00001606619878190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1987-12-03T00:00:00.000Z,2023-08-13T16:11:40.334Z,Físico,"[{'codigo': 3521, 'nome': 'Quadrilha ou Bando'}, {'codigo': 3419, 'nome': 'Roubo '}, {'codigo': 5566, 'nome': 'Roubo Majorado'}]",565488000000
2,00001557319898190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1989-10-20T00:00:00.000Z,2023-08-15T15:08:57.873Z,Físico,"[{'codigo': 3466, 'nome': 'Atentado Violento ao Pudor '}, {'codigo': 3419, 'nome': 'Roubo '}]",624844800000
3,00002275519928190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1992-11-13T00:00:00.000Z,2023-08-15T05:49:35.382Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",721612800000
4,00002263619938190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1993-03-12T00:00:00.000Z,2023-08-15T10:17:16.396Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",731894400000
5,00017218119948190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1994-05-05T00:00:00.000Z,2023-08-14T05:17:00.953Z,Físico,"[{'codigo': 10621, 'nome': 'Aplicação da Pena'}, {'codigo': 3521, 'nome': 'Quadrilha ou Bando'}, {'codigo': 3435, 'nome': 'Receptação'}, {'codigo': 3419, 'nome': 'Roubo '}]",768096000000
6,00002107719968190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1996-01-11T00:00:00.000Z,2023-08-13T11:58:00.022Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",821318400000
7,00028505319968190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1996-06-14T00:00:00.000Z,2023-08-30T19:21:14.503Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",834710400000
8,00038967719968190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1996-08-01T00:00:00.000Z,2023-08-15T05:22:58.141Z,Físico,"[{'codigo': 3435, 'nome': 'Receptação'}, {'codigo': 3419, 'nome': 'Roubo '}]",838857600000
9,00032405219988190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1998-05-12T00:00:00.000Z,2023-08-30T20:12:46.639Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",894931200000
10,00033842619988190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1998-05-14T00:00:00.000Z,2023-08-30T06:01:03.365Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}, {'codigo': 3692, 'nome': 'Contravenções Penais'}, {'codigo': 3492, 'nome': 'Incêndio'}]",895104000000
11,00043577819988190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1998-06-09T00:00:00.000Z,2023-08-30T17:58:19.299Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",897350400000
12,00056144119988190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1998-07-29T00:00:00.000Z,2023-08-30T17:29:08.190Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",901670400000
13,00077978219988190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1998-11-09T00:00:00.000Z,2023-08-31T02:10:09.418Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",910569600000
14,00000049219988190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1998-11-10T00:00:00.000Z,2023-08-15T13:19:35.445Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",910656000000
15,00023923119998190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1999-04-16T00:00:00.000Z,2023-08-15T11:30:18.704Z,Físico,"[{'codigo': 3692, 'nome': 'Contravenções Penais'}, {'codigo': 3419, 'nome': 'Roubo '}, {'codigo': 3468, 'nome': 'Corrupção de Menores'}]",924220800000
16,00045600619998190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1999-08-12T00:00:00.000Z,2023-08-30T22:24:35.328Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",934416000000
17,00052910219998190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1999-09-22T00:00:00.000Z,2023-08-14T15:40:30.981Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",937958400000
18,00063104319998190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,1999-11-09T00:00:00.000Z,2023-08-31T02:36:46.264Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",942105600000
19,00079955120008190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2000-04-11T00:00:00.000Z,2023-08-14T20:49:50.195Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",955411200000
20,00049374020008190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2000-08-30T00:00:00.000Z,2023-08-30T20:14:56.395Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",967593600000
21,00036657420018190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2001-06-11T00:00:00.000Z,2023-08-15T08:23:41.812Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",992217600000
22,00038915519968190037,Insanidade Mental do Acusado,NOVA FRIBURGO 1 VARA CRIMINAL,2001-11-08T00:00:00.000Z,2023-08-15T09:47:59.606Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1005177600000
23,00010966620028190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2002-03-01T00:00:00.000Z,2023-08-15T02:43:58.587Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1014940800000
24,00015720720028190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2002-03-25T00:00:00.000Z,2024-01-10T15:54:11.321Z,Eletrônico,"[{'codigo': 3468, 'nome': 'Corrupção de Menores'}, {'codigo': 3631, 'nome': 'Crimes de Tortura'}, {'codigo': 3419, 'nome': 'Roubo '}]",1017014400000
25,00017002720028190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2002-04-02T00:00:00.000Z,2023-08-30T16:45:28.874Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1017705600000
26,00042205720028190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2002-08-01T00:00:00.000Z,2023-08-15T16:02:15.117Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1028160000000
27,00075774520028190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2002-12-19T00:00:00.000Z,2023-08-15T00:52:13.030Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1040256000000
28,00008859320038190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2003-02-13T00:00:00.000Z,2023-08-30T22:43:15.300Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1045094400000
29,00023183520038190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2003-04-25T00:00:00.000Z,2023-08-15T11:38:17.844Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1051228800000
30,00038642820038190037,Ação Penal - Procedimento Ordinário,NOVA FRIBURGO 1 VARA CRIMINAL,2003-06-25T00:00:00.000Z,2023-08-14T11:41:06.769Z,Físico,"[{'codigo': 3419, 'nome': 'Roubo '}]",1056499200000
